dt=5.00e-06, momentum=0.80, tol=1.00e-05, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
005: rms = 15372.017
006: rms = 15372.017
007: rms = 2156001536.000
008: rms = 15372.017
009: rms = 15372.017
010: rms = 1191648.875
011: rms = 15372.017
012: rms = 15372.017
013: rms = 103677.383
014: rms = 15372.017
015: rms = 15372.017
016: rms = 50564.941
017: rms = 15372.017
018: rms = 15372.017
019: rms = 23973.854
020: rms = 15372.017
021: rms = 15372.017
022: rms = 15557.141
023: rms = 15372.017
024: rms = 15372.017
025: rms = 13573.498
026: rms = 13573.498
027: rms = 13573.498
028: rms = 2026007040.000
029: rms = 13573.498
030: rms = 13573.498
031: rms = 121197912.000
032: rms = 13573.498
033: rms = 13573.498
034: rms = 134653.516
035: rms = 13573.498
036: rms = 13573.498
037: rms = 58203.816
038: rms = 13573.498
039: rms = 13573.498
040: rms = 28973.529
041: rms = 13573.498
042: rms = 13573.498
043: rms = 19091.102
044: rms = 13573.498
045: rms = 13573.498
046: rms = 14703.005
047: rms = 0.000
048: rms = 13573.498
049: rms = 2026007040.000
050: rms = 13573.498
051: rms = 13573.498
052: rms = 121197912.000
053: rms = 13573.498
054: rms = 13573.498
055: rms = 134653.516
056: rms = 13573.498
057: rms = 13573.498
058: rms = 58203.816
059: rms = 13573.498
060: rms = 13573.498
061: rms = 28973.529
062: rms = 13573.498
063: rms = 13573.498
064: rms = 19091.102
065: rms = 13573.498
066: rms = 13573.498
067: rms = 14703.005
dt=5.00e-06, momentum=0.80, tol=1.00e-07, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
068: rms = 1555779.250
069: rms = 1555779.250
070: rms = 166346129408.000
071: rms = 1555779.250
072: rms = 1555779.250
073: rms = 14517697.000
074: rms = 1555779.250
075: rms = 1555779.250
076: rms = 7947467.000
077: rms = 1555779.250
078: rms = 1555779.250
079: rms = 4380511.500
080: rms = 1555779.250
081: rms = 1555779.250
082: rms = 2460730.250
083: rms = 1555779.250
084: rms = 1555779.250
085: rms = 1717737.875
086: rms = 1555779.250
087: rms = 1555779.250
088: rms = 1526284.125
089: rms = 1526284.125
090: rms = 1526284.125
091: rms = 133532581888.000
092: rms = 1526284.125
093: rms = 1526284.125
094: rms = 3123820544.000
095: rms = 1526284.125
096: rms = 1526284.125
097: rms = 9128755.000
098: rms = 1526284.125
099: rms = 1526284.125
100: rms = 4219391.500
101: rms = 1526284.125
102: rms = 1526284.125
103: rms = 2497662.500
104: rms = 1526284.125
105: rms = 1526284.125
106: rms = 1796786.375
107: rms = 1526284.125
108: rms = 1526284.125
109: rms = 1556960.250
110: rms = 0.000
111: rms = 1526284.125
112: rms = 133532581888.000
113: rms = 1526284.125
114: rms = 1526284.125
115: rms = 3123820544.000
116: rms = 1526284.125
117: rms = 1526284.125
118: rms = 9128755.000
119: rms = 1526284.125
120: rms = 1526284.125
121: rms = 4219391.500
122: rms = 1526284.125
123: rms = 1526284.125
124: rms = 2497662.500
125: rms = 1526284.125
126: rms = 1526284.125
127: rms = 1796786.375
128: rms = 1526284.125
129: rms = 1526284.125
130: rms = 1556960.250
